ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
STA,STA,2022-03-14,17.0,17.0,17.0,17.0,1
STA,STA,2022-03-17,17.5,17.5,17.0,17.5,89559
STA,STA,2022-03-18,17.5,17.5,17.0,17.5,31586
STA,STA,2022-03-21,17.39,17.5,17.07,17.39,10247
STA,STA,2022-03-22,17.1,17.39,17.0,17.1,10302
STA,STA,2022-03-23,17.15,17.15,17.0,17.15,7396
STA,STA,2022-03-24,17.4,17.75,17.15,17.4,37438
STA,STA,2022-03-25,18.29,18.3,17.4,18.29,48029
STA,STA,2022-03-28,18.19,18.29,18.0,18.19,17089
STA,STA,2022-03-29,18.2,18.4,18.0,18.2,13221
STA,STA,2022-03-30,18.35,18.4,18.0,18.35,11459
STA,STA,2022-03-31,18.3,18.39,18.2,18.3,1428
STA,STA,2022-04-04,18.2,18.2,18.19,18.2,1104
STA,STA,2022-04-05,18.2,18.24,18.0,18.2,2280
STA,STA,2022-04-06,18.1,18.2,18.0,18.1,5778
STA,STA,2022-04-07,18.0,18.35,18.0,18.0,4149
STA,STA,2022-04-08,18.1,18.37,17.9,18.1,4992
STA,STA,2022-04-11,18.0,18.1,17.95,18.0,1657
STA,STA,2022-04-12,18.0,18.15,17.99,18.0,4476
STA,STA,2022-04-13,18.0,18.15,17.99,18.0,7107
STA,STA,2022-04-14,18.12,18.15,18.0,18.12,1780
STA,STA,2022-04-15,18.08,18.15,18.0,18.08,7343
STA,STA,2022-04-18,18.42,18.5,18.08,18.42,9492
STA,STA,2022-04-19,18.12,18.47,18.09,18.12,8017
STA,STA,2022-04-20,18.2,18.45,18.01,18.2,5634
STA,STA,2022-04-21,18.0,18.43,18.0,18.0,7302
STA,STA,2022-04-22,18.1,18.35,18.0,18.1,2255
STA,STA,2022-04-25,18.1,18.1,18.01,18.1,1954
STA,STA,2022-04-26,18.1,18.1,18.02,18.1,3028
STA,STA,2022-04-27,18.1,18.1,18.03,18.1,4721
STA,STA,2022-04-28,18.1,18.2,18.0,18.1,4962
STA,STA,2022-04-29,18.1,18.1,18.01,18.1,1370
STA,STA,2022-05-04,18.04,18.1,18.01,18.04,1894
STA,STA,2022-05-05,18.5,18.5,18.1,18.5,6650
STA,STA,2022-05-06,18.85,18.99,18.49,18.85,12831
STA,STA,2022-05-09,18.75,18.84,18.55,18.75,2199
STA,STA,2022-05-10,18.9,18.9,18.6,18.9,5598
STA,STA,2022-05-11,19.0,19.0,18.8,19.0,10252
STA,STA,2022-05-12,18.99,19.0,18.8,18.99,2366
STA,STA,2022-05-13,19.48,19.48,19.0,19.48,5317
STA,STA,2022-05-16,19.6,19.6,19.4,19.6,7624
STA,STA,2022-05-17,19.9,19.97,19.45,19.9,7835
STA,STA,2022-05-18,20.4,20.4,19.93,20.4,4303
STA,STA,2022-05-19,20.3,20.4,20.0,20.3,3767
STA,STA,2022-05-20,19.71,20.3,19.7,19.71,1668
STA,STA,2022-05-23,19.9,20.0,19.6,19.9,540
STA,STA,2022-05-24,19.95,19.99,19.7,19.95,419
STA,STA,2022-05-25,19.95,19.97,19.89,19.95,2903
STA,STA,2022-05-26,19.7,20.01,19.7,19.7,21242
STA,STA,2022-05-27,20.15,20.4,20.0,20.15,4154
STA,STA,2022-05-30,20.0,20.35,20.0,20.0,1552
STA,STA,2022-05-31,19.9,20.0,19.9,19.9,50
STA,STA,2022-06-01,19.95,19.95,19.9,19.95,304
STA,STA,2022-06-02,19.97,19.97,19.1,19.97,1943
STA,STA,2022-06-03,19.97,19.97,19.97,19.97,231
STA,STA,2022-06-06,20.0,20.0,19.89,20.0,32492
STA,STA,2022-06-07,19.6,19.98,19.6,19.6,3735
STA,STA,2022-06-08,19.9,19.98,19.6,19.9,6319
STA,STA,2022-06-09,18.2,18.65,17.95,18.2,2626
STA,STA,2022-06-10,18.18,18.18,17.84,18.18,4362
STA,STA,2022-06-13,18.18,18.18,18.0,18.18,3547
STA,STA,2022-06-14,18.0,18.0,18.0,18.0,1179
STA,STA,2022-06-15,18.0,18.0,17.7,18.0,1404
STA,STA,2022-06-16,18.1,18.1,17.8,18.1,4456
STA,STA,2022-06-17,18.4,18.4,18.0,18.4,4253
STA,STA,2022-06-20,18.5,19.0,18.5,18.5,140
STA,STA,2022-06-21,18.3,18.5,18.3,18.3,95
STA,STA,2022-06-22,18.4,18.5,18.39,18.4,800
STA,STA,2022-06-23,18.89,18.9,18.45,18.89,738
STA,STA,2022-06-24,18.89,18.9,18.89,18.89,610
STA,STA,2022-06-27,18.9,18.9,18.89,18.9,5
STA,STA,2022-06-30,18.8,18.88,18.79,18.8,205
STA,STA,2022-07-01,18.5,18.8,17.75,18.5,874
STA,STA,2022-07-04,18.4,18.5,18.3,18.4,280
STA,STA,2022-07-06,18.49,18.49,18.39,18.49,2761
STA,STA,2022-07-07,18.18,18.49,18.18,18.18,100
STA,STA,2022-07-08,18.48,18.48,18.17,18.48,559
STA,STA,2022-07-11,18.39,18.48,18.0,18.39,92
